SEX,RAC1P,MSP,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE
0,5,0,0,2,10,1
0,7,1,0,2,6,4
0,1,0,0,1,0,7
0,1,0,0,1,11,1
1,5,0,0,1,6,0
0,7,1,0,2,3,2
1,1,0,1,2,6,3
0,1,0,0,1,1,3
0,6,5,0,1,6,0
0,5,1,2,0,6,0
0,8,0,1,2,6,2
0,4,1,2,2,6,2
1,2,5,0,1,6,0
0,2,0,2,1,6,0
0,2,0,2,2,10,0
1,1,0,1,1,0,1
0,1,0,0,1,6,2
0,4,1,2,1,6,0
0,4,0,0,1,2,4
1,1,0,1,2,2,0
0,5,0,2,1,6,0
0,4,0,2,2,6,3
0,4,0,2,1,6,0
0,5,5,1,0,6,0
1,5,1,2,1,0,9
0,2,1,0,1,6,0
0,4,1,2,1,6,4
1,8,0,0,1,0,0
0,4,1,2,1,6,2
0,4,0,2,1,6,0
0,4,0,1,1,6,0
0,5,1,0,0,10,9
0,2,0,1,1,6,4
0,4,0,2,1,6,7
0,2,0,0,1,1,2
0,1,1,0,1,5,3
1,1,1,1,1,2,0
0,1,3,2,2,10,2
1,5,5,0,1,6,0
0,4,5,2,1,0,9
0,1,1,2,1,6,0
0,1,0,2,1,6,0
0,5,5,0,1,6,0
0,4,0,1,2,0,5
1,1,0,2,2,6,0
0,5,0,0,1,6,2
0,1,0,2,1,2,9
0,1,1,0,2,6,4
0,4,0,2,1,11,6
0,1,1,0,1,6,3
0,1,1,0,1,6,0
0,0,0,0,1,5,0
0,5,0,1,1,8,0
1,4,0,2,1,5,6
0,1,1,2,1,6,4
0,4,0,0,1,6,1
0,4,1,2,1,6,0
0,2,0,0,1,6,2
0,4,0,2,1,3,0
0,4,0,1,1,1,6
1,1,0,1,0,6,8
1,5,1,1,1,6,5
0,3,5,0,0,6,0
0,5,0,1,0,10,4
0,1,0,0,2,6,2
0,6,0,0,1,0,4
0,1,0,0,1,6,0
0,1,1,2,1,6,0
1,1,1,1,1,6,2
0,8,0,2,1,6,0
1,3,1,2,2,5,3
0,1,1,2,1,6,0
0,1,0,0,1,6,0
0,4,0,1,1,6,2
1,1,1,0,1,6,9
1,5,1,2,0,5,8
0,4,0,1,2,6,0
0,1,0,0,1,11,0
0,1,0,0,1,6,0
0,4,0,1,1,0,2
0,1,0,2,1,6,5
0,2,1,2,1,6,0
0,2,0,0,1,6,0
0,4,1,2,1,6,7
1,1,0,2,1,6,5
0,1,1,0,2,6,2
0,1,1,0,0,6,9
0,1,0,0,1,6,2
0,1,1,0,1,2,3
0,4,0,1,2,5,2
1,1,0,2,2,5,2
0,4,0,1,1,6,2
1,1,0,0,1,6,0
0,5,1,2,1,6,4
0,4,0,1,1,6,4
0,4,0,1,1,6,5
1,4,0,1,1,6,2
0,7,3,2,1,6,8
0,1,5,2,1,6,2
0,5,0,1,1,6,0
0,1,0,0,0,6,0
0,4,5,2,1,6,0
1,1,0,0,1,6,1
0,4,1,2,2,1,1
0,1,0,1,1,2,4
0,4,3,1,1,11,0
0,1,1,0,1,6,9
0,5,0,0,1,6,4
0,2,0,0,1,6,2
0,1,0,2,1,6,0
0,1,0,1,1,6,0
0,1,0,2,1,6,0
0,1,0,1,1,6,3
0,0,0,0,1,10,2
0,4,0,2,1,6,0
0,1,0,0,1,6,8
1,4,0,2,2,6,7
0,2,1,0,1,0,1
0,4,0,1,2,6,2
0,4,0,0,2,6,6
1,4,1,0,1,6,0
0,0,1,0,1,6,0
0,1,0,0,0,6,4
0,1,5,2,1,6,9
0,1,0,2,1,6,6
0,5,0,2,1,10,5
0,1,0,0,1,10,9
0,1,5,0,1,2,1
0,1,5,1,1,6,2
0,7,0,2,1,5,0
0,3,1,0,1,6,4
1,1,0,2,1,6,6
0,5,5,0,1,6,8
1,4,0,1,1,2,9
0,1,0,0,1,6,3
0,2,0,2,1,6,0
1,4,1,2,2,5,8
1,1,0,2,1,1,0
0,1,1,0,1,6,5
0,1,1,1,1,6,6
0,4,0,1,1,6,1
0,3,1,1,1,6,6
0,4,0,2,1,6,6
0,1,0,2,1,10,6
0,1,1,0,1,11,5
0,1,0,2,1,6,2
0,4,0,1,1,2,0
0,1,0,0,1,6,0
0,1,5,1,1,6,0
0,1,0,0,1,2,0
0,6,5,0,2,6,3
1,1,1,2,1,6,0
0,6,0,1,0,8,4
0,4,0,1,1,6,3
0,1,0,1,1,6,1
0,1,0,0,2,6,0
1,1,0,0,1,6,1
0,1,0,0,1,6,2
0,1,0,0,1,2,0
0,1,0,0,1,6,3
0,1,0,2,1,5,6
0,1,0,2,1,6,9
0,4,0,2,2,6,0
0,4,1,0,2,2,0
0,1,0,2,1,6,0
0,1,0,2,1,7,2
1,7,1,1,1,5,5
0,1,0,0,1,6,4
0,4,0,1,1,6,0
0,4,0,1,1,1,0
0,2,0,0,1,11,3
0,2,0,1,2,11,4
0,4,0,2,2,6,4
1,5,1,0,1,2,4
0,5,1,0,1,11,0
1,1,5,2,1,10,0
0,4,0,2,1,2,1
0,3,1,2,2,6,9
1,1,0,2,1,4,6
0,8,0,0,1,6,2
0,1,0,2,1,6,5
0,1,0,0,1,6,4
0,1,0,0,1,6,0
0,1,0,1,1,6,0
0,5,0,0,2,5,0
0,4,0,2,1,11,2
0,1,0,2,2,6,0
0,5,0,2,1,6,9
1,2,0,0,1,0,6
0,5,1,2,2,6,9
0,4,0,2,1,6,8
0,1,1,0,1,0,0
0,1,0,2,2,6,2
0,1,0,0,1,6,9
0,8,1,2,2,6,0
0,2,2,0,2,5,2
0,5,0,2,1,6,5
0,4,0,2,1,6,2
0,2,0,0,1,6,5
0,1,0,2,2,6,0
0,4,0,0,0,6,0
0,0,1,2,2,6,9
0,8,0,0,1,6,0
0,4,5,2,2,6,6
0,5,0,0,1,6,5
0,1,0,1,0,2,3
0,5,0,0,1,6,2
0,4,0,2,1,1,6
1,1,5,0,1,6,4
0,4,1,0,2,6,0
0,4,0,2,1,1,4
0,8,0,1,1,6,0
0,1,0,2,1,6,0
0,5,0,2,1,3,0
0,1,0,2,1,6,1
1,1,0,0,1,6,2
0,4,0,1,1,6,6
0,4,0,1,0,1,0
1,4,0,1,1,6,3
0,4,1,1,1,6,2
0,4,0,1,1,6,0
1,4,0,2,2,0,0
0,5,0,0,0,6,6
0,5,0,2,1,6,3
0,1,1,0,1,6,0
0,5,1,2,1,1,0
1,1,0,2,1,6,0
0,2,1,0,1,6,2
1,3,0,0,1,1,4
0,1,0,1,1,6,3
0,7,0,2,2,6,2
0,5,0,0,2,6,8
0,1,0,2,1,6,6
1,2,0,2,1,6,3
0,5,0,0,2,6,0
0,1,0,0,1,6,4
0,7,0,2,1,6,3
0,6,0,2,1,6,0
0,3,1,2,1,6,1
0,4,0,2,1,6,6
0,7,0,0,1,6,0
0,4,0,2,1,2,6
0,4,0,2,1,6,0
0,5,0,0,1,6,0
1,1,0,2,1,6,0
0,1,0,0,1,6,4
1,1,0,2,1,2,6
1,8,0,2,1,6,0
0,4,0,1,1,0,8
1,5,1,2,1,10,6
0,3,0,2,0,6,5
0,1,0,2,1,6,4
0,1,0,2,1,6,0
0,1,1,1,1,10,0
0,1,0,1,1,3,0
0,4,0,2,1,6,8
0,7,0,0,1,1,2
1,1,0,0,1,6,0
0,4,0,2,1,6,0
1,1,0,0,1,6,0
0,8,0,0,1,0,5
0,5,5,0,1,5,2
0,1,0,0,1,5,7
0,1,0,2,1,6,0
0,5,0,0,2,6,3
0,1,0,2,1,6,1
0,6,1,2,1,1,0
0,2,0,0,1,6,0
0,1,0,0,1,6,0
0,4,0,0,1,6,0
0,1,1,2,2,3,9
0,1,0,2,1,2,1
0,1,1,0,1,6,0
0,1,5,2,2,6,0
0,7,0,0,1,6,7
0,4,0,1,1,6,0
0,1,0,0,2,1,9
0,1,0,2,1,10,9
0,2,1,2,1,1,1
0,1,0,2,1,11,2
1,1,0,0,1,6,5
0,1,1,0,1,6,2
0,4,5,2,1,6,0
1,4,0,1,1,2,0
0,1,0,0,1,6,5
0,1,1,0,2,6,5
0,1,0,0,1,6,0
0,4,0,1,1,0,9
0,1,5,0,1,2,5
1,2,0,0,1,6,0
0,4,0,0,1,6,1
0,4,1,2,1,6,7
0,1,0,0,1,6,0
0,5,0,2,1,6,9
0,1,5,2,1,1,3
0,1,0,2,1,6,5
0,1,0,0,1,6,0
0,4,0,2,1,6,2
0,1,1,2,1,6,8
0,1,0,0,1,1,0
0,4,0,2,0,3,0
0,4,1,2,2,2,0
0,4,0,2,1,6,2
0,8,0,2,1,6,5
0,7,1,0,1,6,0
0,7,0,0,1,10,0
0,4,1,2,1,6,5
0,1,0,0,1,1,3
0,8,1,2,2,6,6
0,4,0,1,2,6,0
0,5,0,1,1,6,4
0,1,3,2,1,6,0
0,1,5,0,1,2,8
0,1,0,0,1,6,0
0,1,0,2,1,6,5
1,1,1,0,1,6,0
1,4,1,1,1,6,6
1,1,5,0,1,6,3
0,6,0,1,1,6,0
1,4,0,2,1,6,2
0,2,0,1,2,6,1
1,1,0,0,1,6,1
0,7,1,2,1,1,1
1,1,0,0,1,6,2
0,4,0,2,1,6,3
0,5,5,0,1,6,0
0,5,1,0,2,6,5
1,1,0,0,1,2,2
0,1,0,1,0,6,1
1,1,1,1,1,11,4
0,4,0,2,1,6,7
0,4,1,0,1,6,3
0,1,5,0,2,6,0
0,4,1,2,1,6,1
0,6,1,2,1,6,4
0,5,1,0,1,6,4
0,1,0,0,1,1,0
0,5,5,1,1,6,0
0,4,0,2,1,6,0
1,5,0,1,0,6,0
0,4,0,2,1,0,6
1,1,5,0,1,2,2
0,4,0,0,2,6,2
0,1,0,0,1,6,0
1,5,0,0,2,6,6
0,4,0,0,1,2,0
0,5,1,0,1,0,0
1,5,0,1,1,6,0
0,2,1,2,1,6,5
0,4,0,1,1,6,8
0,4,0,2,1,6,3
0,4,0,1,2,6,2
0,2,1,0,0,6,0
0,5,5,0,1,6,0
0,1,1,0,1,6,0
0,1,0,2,1,6,0
0,2,1,1,1,6,0
0,4,0,1,1,6,1
0,5,0,2,2,6,3
0,5,0,2,0,6,0
0,4,0,0,1,6,3
1,4,0,0,1,6,2
0,7,0,2,1,6,0
0,1,0,1,1,6,0
0,3,0,0,1,6,0
0,4,1,0,1,6,4
0,1,0,1,0,6,4
0,1,0,2,1,6,0
1,4,1,2,1,0,2
0,2,0,1,1,6,3
0,7,0,0,1,1,0
0,1,0,1,1,6,2
0,1,0,0,1,6,6
0,7,0,1,2,6,6
0,1,0,0,2,6,3
0,1,0,1,1,6,4
0,2,2,1,1,6,9
1,5,0,0,1,6,5
0,5,5,1,1,6,5
0,1,5,1,1,6,4
0,4,1,1,1,6,3
0,1,0,1,1,6,0
1,1,0,2,2,0,4
0,1,1,2,1,6,8
0,5,5,0,1,6,5
1,4,0,0,1,6,3
0,2,0,0,1,1,0
0,5,0,0,1,6,2
0,5,1,1,1,6,0
0,2,1,0,2,6,0
0,1,0,2,1,2,2
0,4,0,1,0,6,2
0,2,0,1,1,11,6
0,2,1,2,1,6,0
0,1,1,1,2,5,0
0,4,0,2,2,6,2
0,2,0,0,1,2,0
0,2,0,2,1,2,7
0,1,1,2,1,3,1
0,2,1,2,1,6,0
0,2,5,2,0,6,0
0,1,5,0,0,6,4
0,4,1,0,2,6,0
0,6,1,1,0,6,0
0,5,0,1,1,6,0
0,8,0,1,0,5,0
1,5,0,1,1,6,6
0,2,1,0,1,6,0
0,1,0,0,1,6,0
0,4,0,2,1,6,0
0,4,0,2,1,2,0
1,4,0,0,1,6,3
0,1,5,1,0,1,2
0,4,5,2,1,5,0
0,4,0,1,0,2,8
1,5,5,1,2,6,2
0,7,1,0,2,6,0
0,8,0,2,1,3,3
0,1,0,0,1,6,0
1,2,0,2,1,6,3
0,1,0,0,1,1,5
0,1,0,2,2,3,5
1,4,0,0,1,2,5
0,5,0,0,1,6,2
0,4,0,2,1,6,0
0,4,0,1,2,6,0
0,1,0,0,1,5,3
0,1,0,0,1,1,1
0,8,0,2,2,6,0
0,4,1,0,1,5,0
0,4,0,2,1,6,4
0,1,0,2,0,6,6
1,5,0,2,1,6,4
0,1,0,1,1,0,0
0,1,0,0,1,6,0
1,4,0,2,1,5,8
0,1,0,1,0,6,1
0,2,0,0,1,8,6
0,4,0,0,1,11,0
0,1,1,1,1,6,0
0,4,5,0,1,6,1
0,4,0,2,1,6,2
1,4,0,1,1,6,0
1,4,5,0,0,10,0
0,1,1,0,1,6,2
0,5,0,0,0,6,0
0,2,0,0,1,6,0
0,5,0,0,1,6,2
0,3,0,0,2,6,8
1,5,5,0,1,6,0
0,2,1,0,1,0,0
0,1,1,2,1,6,0
1,5,0,0,1,0,0
0,1,1,2,1,11,6
0,6,0,0,1,6,8
0,1,0,1,1,6,3
0,7,1,0,0,6,0
0,4,0,2,1,6,2
0,1,0,0,1,6,0
0,1,0,1,1,1,0
1,1,0,2,1,10,5
0,4,0,2,0,2,0
0,1,0,2,1,6,2
1,1,1,2,1,0,2
0,4,1,2,1,10,8
0,4,0,1,1,6,4
0,4,0,2,2,5,6
0,4,1,2,1,6,1
0,4,0,1,0,2,0
0,1,0,0,1,6,3
0,1,1,0,1,6,3
1,5,0,0,1,6,0
0,4,1,0,2,6,0
0,5,1,1,2,6,9
0,5,0,2,1,6,0
0,4,1,2,1,6,0
0,1,0,0,0,6,0
1,2,0,2,1,6,1
0,4,5,0,0,6,2
0,1,3,2,2,11,0
0,5,0,1,1,6,6
0,1,0,1,1,6,0
0,4,0,2,2,2,2
0,1,0,0,1,10,8
0,4,0,2,1,6,9
0,5,5,0,1,10,3
0,5,1,0,1,1,8
0,5,0,2,2,6,0
0,4,1,2,1,6,7
0,1,0,0,1,5,2
0,5,1,2,1,6,1
0,6,0,2,1,6,6
0,5,5,2,2,6,2
0,4,0,1,0,6,7
0,1,0,2,2,1,3
1,2,0,2,1,1,9
0,1,0,0,0,11,0
0,4,0,1,1,6,0
